Epoch   1 : Train Acc:  40.6%, Dev Acc:  21.9%, Dev Loss: 2.240
Epoch   2 : Train Acc:  84.4%, Dev Acc:  65.6%, Dev Loss: 0.918
Epoch   3 : Train Acc:  84.4%, Dev Acc:  81.2%, Dev Loss: 0.750
Epoch   4 : Train Acc:  90.6%, Dev Acc:  96.9%, Dev Loss: 0.237
Epoch   5 : Train Acc:  90.6%, Dev Acc:  84.4%, Dev Loss: 0.578
Epoch   6 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.254
Epoch   7 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.299
Epoch   8 : Train Acc:  96.9%, Dev Acc:  93.8%, Dev Loss: 0.209
Epoch   9 : Train Acc:  96.9%, Dev Acc:  93.8%, Dev Loss: 0.280
Epoch  10 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.430
Epoch  11 : Train Acc:  96.9%, Dev Acc:  93.8%, Dev Loss: 0.137
Epoch  12 : Train Acc:  96.9%, Dev Acc:  78.1%, Dev Loss: 0.659
Epoch  13 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.388
Epoch  14 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.260
Epoch  15 : Train Acc:  96.9%, Dev Acc:  96.9%, Dev Loss: 0.096
Epoch  16 : Train Acc:  96.9%, Dev Acc:  75.0%, Dev Loss: 0.851
Epoch  17 : Train Acc:  93.8%, Dev Acc:  96.9%, Dev Loss: 0.105
Epoch  18 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.276
Epoch  19 : Train Acc:  96.9%, Dev Acc:  81.2%, Dev Loss: 0.636
Epoch  20 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.943
Epoch  21 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.885
Epoch  22 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 1.055
Epoch  23 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.986
Epoch  24 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 2.012
Epoch  25 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.514
Epoch  26 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.675
Epoch  27 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.418
Epoch  28 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.487
Epoch  29 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.152
Epoch  30 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.405
Epoch  31 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 1.098
Epoch  32 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.157
Epoch  33 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 1.230
Epoch  34 : Train Acc: 100.0%, Dev Acc:  75.0%, Dev Loss: 0.912
Epoch  35 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.071
Epoch  36 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.140
Epoch  37 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 1.289
Epoch  38 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.142
Epoch  39 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.414
Epoch  40 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 0.820
Epoch  41 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.934
Epoch  42 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 1.010
Epoch  43 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.814
Epoch  44 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 1.006
Epoch  45 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 2.212
Epoch  46 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.158
Epoch  47 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.889
Epoch  48 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.282
Epoch  49 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.482
Epoch  50 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.453
Epoch  51 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.510
Epoch  52 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 1.390
Epoch  53 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.223
Epoch  54 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 1.819
Epoch  55 : Train Acc: 100.0%, Dev Acc:  75.0%, Dev Loss: 1.106
Epoch  56 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.267
Epoch  57 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.188
Epoch  58 : Train Acc: 100.0%, Dev Acc:  75.0%, Dev Loss: 1.978
Epoch  59 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.182
