Epoch   1 : Train Acc:  40.6%, Dev Acc:  37.5%, Dev Loss: 0.521, Time: 3.2721872329711914
Epoch   2 : Train Acc:  65.6%, Dev Acc:  53.1%, Dev Loss: 0.330, Time: 18.625065565109253
Epoch   3 : Train Acc:  81.2%, Dev Acc:  81.2%, Dev Loss: 0.226, Time: 33.89093828201294
Epoch   4 : Train Acc:  87.5%, Dev Acc:  78.1%, Dev Loss: 0.218, Time: 49.157811641693115
Epoch   5 : Train Acc:  90.6%, Dev Acc:  90.6%, Dev Loss: 0.101, Time: 64.46568727493286
Epoch   6 : Train Acc:  93.8%, Dev Acc:  75.0%, Dev Loss: 0.185, Time: 79.71955966949463
Epoch   7 : Train Acc:  93.8%, Dev Acc:  93.8%, Dev Loss: 0.100, Time: 94.99143314361572
Epoch   8 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.146, Time: 110.30130887031555
Epoch   9 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.187, Time: 125.49217772483826
Epoch  10 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.064, Time: 140.8810579776764
Epoch  11 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.107, Time: 156.1729326248169
Epoch  12 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.079, Time: 171.51381015777588
Epoch  13 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.072, Time: 186.84668707847595
Epoch  14 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.031, Time: 202.1295611858368
Epoch  15 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.087, Time: 217.47743892669678
Epoch  16 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.046, Time: 232.76631355285645
Epoch  17 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.202, Time: 248.11019110679626
Epoch  18 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.143, Time: 263.4380679130554
Epoch  19 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.157, Time: 278.75294399261475
Epoch  20 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.186, Time: 294.0658197402954
Epoch  21 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.190, Time: 309.3626947402954
Epoch  22 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.079, Time: 324.7495746612549
Epoch  23 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.240, Time: 340.03844928741455
Epoch  24 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.231, Time: 355.35732531547546
Epoch  25 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.202, Time: 370.7312047481537
Epoch  26 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.062, Time: 385.9860773086548
