Epoch  56 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.505, Time: 1379.252888917923
Epoch  57 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.516, Time: 1404.2543189525604
Epoch  58 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.517, Time: 1429.20574593544
Epoch  59 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.529, Time: 1454.1281714439392
Epoch  60 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.536, Time: 1479.0545971393585
Epoch  61 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.539, Time: 1503.9770226478577
Epoch  62 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.562, Time: 1528.9774525165558
Epoch  63 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.568, Time: 1553.9568815231323
Epoch  64 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.552, Time: 1578.8703062534332
Epoch  65 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.540, Time: 1603.809732913971
Epoch  66 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.536, Time: 1628.7671604156494
Epoch  67 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.496, Time: 1653.711587190628
Epoch  68 : Train Acc:  96.9%, Dev Acc:  81.2%, Dev Loss: 0.364, Time: 1678.7410185337067
Epoch  69 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.434, Time: 1703.7524490356445
Epoch  70 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.461, Time: 1728.721877336502
Epoch  71 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.391, Time: 1753.664303779602
Epoch  72 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.391, Time: 1778.5687284469604
Epoch  73 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.435, Time: 1803.5221557617188
Epoch  74 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.451, Time: 1828.421579837799
Epoch  75 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.453, Time: 1853.382007598877
Epoch  76 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.457, Time: 1878.3014328479767
Epoch  77 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.490, Time: 1903.2108573913574
Epoch  78 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.506, Time: 1928.1402833461761
Epoch  79 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.502, Time: 1953.0587086677551
Epoch  80 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.489, Time: 1977.9931349754333
Epoch  81 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.503, Time: 2002.898559331894
Epoch  82 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.475, Time: 2027.8179848194122
Epoch  83 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.478, Time: 2052.739410161972
Epoch  84 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.453, Time: 2077.72283911705
Epoch  85 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.431, Time: 2102.67626619339
Epoch  86 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.425, Time: 2127.585691213608
Epoch  87 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.385, Time: 2152.4731147289276
Epoch  88 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.400, Time: 2177.3655383586884
Epoch  89 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.283, Time: 2202.2399611473083
Epoch  90 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.296, Time: 2227.1213841438293
Epoch  91 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.317, Time: 2251.9888064861298
Epoch  92 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.325, Time: 2276.87122964859
Epoch  93 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.336, Time: 2301.7676537036896
Epoch  94 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.337, Time: 2326.6530768871307
Epoch  95 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.345, Time: 2351.5555012226105
Epoch  96 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.346, Time: 2376.543930530548
Epoch  97 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.356, Time: 2401.4523553848267
Epoch  98 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.355, Time: 2426.3437790870667
Epoch  99 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.377, Time: 2451.243203163147
Epoch 100 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.368, Time: 2476.138627052307
