Epoch   1 : Train Acc:  28.1%, Dev Acc:  37.5%, Dev Loss: 1.584
Epoch   2 : Train Acc:  46.9%, Dev Acc:  53.1%, Dev Loss: 0.970
Epoch   3 : Train Acc:  68.8%, Dev Acc:  71.9%, Dev Loss: 0.729
Epoch   4 : Train Acc:  87.5%, Dev Acc:  81.2%, Dev Loss: 0.575
Epoch   5 : Train Acc:  87.5%, Dev Acc:  78.1%, Dev Loss: 0.759
Epoch   6 : Train Acc:  87.5%, Dev Acc:  71.9%, Dev Loss: 0.513
Epoch   7 : Train Acc:  87.5%, Dev Acc:  84.4%, Dev Loss: 0.377
Epoch   8 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.410
Epoch   9 : Train Acc:  93.8%, Dev Acc:  81.2%, Dev Loss: 0.503
Epoch  10 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.579
Epoch  11 : Train Acc:  96.9%, Dev Acc:  96.9%, Dev Loss: 0.253
Epoch  12 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.498
Epoch  13 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.512
Epoch  14 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.265
Epoch  15 : Train Acc:  96.9%, Dev Acc:  93.8%, Dev Loss: 0.168
Epoch  16 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.248
Epoch  17 : Train Acc:  96.9%, Dev Acc:  93.8%, Dev Loss: 0.113
Epoch  18 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.243
Epoch  19 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.461
Epoch  20 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.627
Epoch  21 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.181
Epoch  22 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.404
Epoch  23 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.092
Epoch  24 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.174
Epoch  25 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.557
Epoch  26 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 1.038
Epoch  27 : Train Acc:  96.9%, Dev Acc:  81.2%, Dev Loss: 0.844
Epoch  28 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.641
Epoch  29 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.636
Epoch  30 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.992
Epoch  31 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.982
Epoch  32 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.624
Epoch  33 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.768
Epoch  34 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 1.134
Epoch  35 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.559
